No,Song,Dae of lesson,Link to Lesson,Lesson name,Link to score 1,Score Name,Link to score 2,Score Name 2,Remarks,ステータス
48,Holy War,2022年9月25日,https://www.facebook.com/gt.miya.9/videos/5727232277344717?idorvanity=2389866774457145,Lesson_2022925,https://www.facebook.com/photo/?fbid=3184083978570716&set=gm.5170808353029626&idorvanity=2389866774457145,Score No.2,,,#1 Riff,
47,Holy War,2022年9月18日,https://www.facebook.com/100009074351159/videos/1354683971731725/,Lesson_2022918,https://scontent-lax3-2.xx.fbcdn.net/v/t39.30808-6/307666872_3178062572506190_6438881538208133960_n.jpg?stp=cp6_dst-jpg&_nc_cat=107&ccb=1-7&_nc_sid=5cd70e&_nc_ohc=1GiQbogGgccAX89fXDY&_nc_ht=scontent-lax3-2.xx&oh=00_AT8jnYzh-z8U3FrKQve3Gwsqk2RmMT7PLIMNb70PlgP_0A&oe=632AE455,Score No.1,,,#1 Intro ,
46,BraveHearted,2022年8月28日,https://www.facebook.com/100009074351159/videos/584884796715583/,Lesson_2022828,https://www.facebook.com/groups/2389866774457145,Score No.1,,,#2 Intro,
45,BraveHearted,2022年8月14日,https://www.facebook.com/gt.miya.9/videos/597149488454671?idorvanity=2389866774457145,Lesson_2022814,https://www.facebook.com/photo/?fbid=3150771255235322&set=gm.5055556654554797&idorvanity=2389866774457145,Score No.1,,,#1 Riff,
44,Shadowmaker,2022年7月31日,https://www.facebook.com/gt.miya.9/videos/1092419068364719?idorvanity=2389866774457145,Lesson_2022731,No scores,No scores,,,#4 Short instrmentar version,
43,Shadowmaker,2022年7月17日,https://www.facebook.com/gt.miya.9/videos/1007739683272001?idorvanity=2389866774457145,Lesson_2022717,https://www.facebook.com/photo/?fbid=3130151307297317&set=gm.4979834342127029&idorvanity=2389866774457145,Score No.3,,,#3 Twin gutitar#2,
42,Shadowmaker,2022年6月26日,https://www.facebook.com/gt.miya.9/videos/551400299877304?idorvanity=2389866774457145,Lesson_2022626,https://www.facebook.com/photo/?fbid=3113798545599260&set=gm.4921919411251856&idorvanity=2389866774457145,Score No.2,,,#2 Twin gutita #1,
41,Shadowmaker,2022年6月12日,../Miyako%E5%85%88%E7%94%9F%20Gutitar%20Lesson%201977327d0c774d82a5c8459cdd4988a0.mdhttps://www.facebook.com/gt.miya.9/videos/761576074835644?idorvanity=2389866774457145,Lesson_2022612,https://www.facebook.com/photo/?fbid=3102236526755462&set=gm.4880926902017774&idorvanity=2389866774457145,Score No.1,,,#1 Intro,
40,Above the Black Sea,2022年5月29日,https://www.facebook.com/gt.miya.9/videos/731012471413674?idorvanity=2389866774457145,Lesson_2022529,https://www.facebook.com/photo/?fbid=3091507724495009&set=gm.4840564812720650&idorvanity=2389866774457145,Score No.2,,,#2 Riff,
39,Above the Black Sea,2022年5月17日,https://www.facebook.com/gt.miya.9/videos/355962009742343?idorvanity=2389866774457145,Lesson_2022517,https://www.facebook.com/photo/?fbid=3081729728806142&set=gm.4805681869542278&idorvanity=2389866774457145,Score No.1,,,#1 Intro,
101,Live streaming,2022年4月30日,https://www.facebook.com/gt.miya.9/videos/1039417983677911?idorvanity=2389866774457145,LiveStreaming_2022430,No scores,,,,Demonstration: “Above the Black Sea”,
38,Sign of Deliverance,2021年7月18日,https://www.facebook.com/100001702314552/videos/pcb.3870830056360802/528989281579533,Lesson_2021718,https://www.facebook.com/100001702314552/videos/pcb.3870830056360802/528989281579533,Score No.2,,,#2,
37,Sign of Deliverance,2021年7月11日,https://www.facebook.com/100001702314552/videos/pcb.3851373394973135/253847193172039,Lesson_2021711,https://www.facebook.com/photo/?fbid=4085257724874264&set=pcb.3851373394973135,Score No.1,,,#1,
36,Dystopia Symphony,2021年6月13日,https://www.facebook.com/gt.miya.9/videos/2824564667855984?idorvanity=2389866774457145,Lesson_2021613,https://www.facebook.com/photo/?fbid=2824516007860850&set=gm.3776925619084580,Score No.2,,,#2,
35,Dystopia Symphony,2021年6月6日,https://www.facebook.com/gt.miya.9/videos/2819301125049005?idorvanity=2389866774457145,Lesson_202166,https://www.facebook.com/photo/?fbid=2818794845099633&set=gm.3755675934542882,Score No.1,,,#1,
34,Empty  DayDream,2021年5月30日,https://www.facebook.com/gt.miya.9/videos/2814298355549282?idorvanity=2389866774457145,Lesson_2021530,https://www.facebook.com/photo/?fbid=2813736388938812&set=gm.3735862599857549,Score No.2,,,#2,
33,Empty Daydream,2021年5月16日,https://www.facebook.com/gt.miya.9/videos/2803407669971684?idorvanity=2389866774457145,Lesson_2021516,https://www.facebook.com/photo/?fbid=2802832480029203&set=gm.3693404884103321,Score No.1,,,#1,
32,No Time to Hesitate,2021年4月25日,https://www.facebook.com/gt.miya.9/videos/2787707278208390?idorvanity=2389866774457145,Lesson_2021425,https://www.facebook.com/photo/?fbid=2787797421532709&set=gm.3635139029929907,Score No.2,,,#2,
31,No Time to Hesitate,2021年4月11日,https://www.facebook.com/gt.miya.9/videos/2777232739255844?idorvanity=2389866774457145,Lesson_2021411,https://www.facebook.com/photo/?fbid=2777315895914195&set=gm.3595395313904279,Score No.1,,,#1,
30,We The United,2021年3月21日,https://www.facebook.com/gt.miya.9/videos/2761458517499933?idorvanity=2389866774457145,Lesson_2021321,https://www.facebook.com/photo/?fbid=2761390930840025&set=gm.3530817010362110,Score No.4,,,#4 Solo,
29,We The United,2021年3月7日,https://www.facebook.com/gt.miya.9/videos/2750311078614677?idorvanity=2389866774457145,Lesson_202137,https://www.facebook.com/photo/?fbid=2750174295295022&set=gm.3494262797350865,Score No.3,,,#3 Solo,
28,We The United,2021年2月28日,https://www.facebook.com/gt.miya.9/videos/2745072335805218?idorvanity=2389866774457145,Lesson_2021228,https://www.facebook.com/photo/?fbid=2745033905809061&set=pcb.3477758695667942,Score No.2_EasyVer,https://www.facebook.com/photo/?fbid=2745019245810527&set=gm.3477711969005948,Score No.2_StdVer,#2 Solo,
27,We The United,2021年2月7日,https://www.facebook.com/gt.miya.9/videos/2729249704054148?idorvanity=2389866774457145,Lesson_202127,https://www.facebook.com/photo/?fbid=2745033899142395&set=pcb.3477758695667942,Score No.1_EasyVer,https://www.facebook.com/photo/?fbid=2729108450734940&set=gm.3418563188254160,Score No.1_StdVer,#1 Solo,
